Accession #,Panel #,Title,Description,"PUBLICATION
Info as of April 15, 2025",page number
2204,4,UWAC Group Photo ,"O. Kobylianska Branch
Endeavour, Saskatchewan 
c.1951",Twenty Five Years of UWAC 1926-1951,506
2229,4,Ukrainian Canadian Youth Association,"Convention in Manitoba
November 13 and 14 
1965.",Unknown Publication,
2241,4,Embroidery Pattern ,Fig.179,Ukrainian Embroidery Designs and Stitches  (1957),116
2242,4,Embroidery Pattern ,Fig. 182,Ukrainian Embroidery Designs and Stitches  (1957),118
2278,4,Embroidered Corner ,Fig 101 & 205,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
 ",70;78
2282,4,Embroidered Linen Traycloth,,Ukrainian Embroidery Designs and Stitches  (1957),80
2309,4,Table of Desserts,,Unknown Publication,
2336,4,"The City of Rivno, Ukraine Burning",,Unknown Publication,
2436,4,UWAC Group Photo ,Unidentified,Unknown Publication,
2524,4,Trophy,Unidentified,Unknown Publication,
2542,4,Group Photo,Unidentified,Unknown Publication,
2576,4,Group Photo,Unidentified,Unknown Publication,
2613,4,Group Photo,Unidentified,Unknown Publication,
2620,4,Easter Basket Blessing,Unidentified,Unknown Publication,
2633,4,CYMK Queen & Princesses,Unidentified,Unknown Publication,
2698,4,Group Photo,Unidentified,Unknown Publication,
2706,4,Group Photo,Unidentified,Promin April 1961,27
2736,4,Group Photo,Unidentified,Unknown Publication,
2737,4,Anniversary Couple,Unidentified,Unknown Publication,
2738,4,Womens Group Photo,Unidentified,Unknown Publication,
2743,4,UWAC Group Photo," Lesia Ukrainka Branch, Dauphin, MB 
1951",Unknown Publication,
2749,4,Group Photo,Unidentified,Unknown Publication,
2765,4,Promin Group Photo,Unidentified,Unknown Publication,
2790,4,Competition Winners  ,Unidentified,Unknown Publication,
2802,4,Group Photo,Unidentified,Unknown Publication,
2810,4,Group Photo,Unidentified,Unknown Publication,
2887,4,Two Women Speaking,Unidentified,Unknown Publication,
2890,4,Group Photo Around a Table,Unidentified,Unknown Publication,
2898,4,Presenting a Plaque,,Unknown Publication,
3050,4,Embroidery Pattern,"Tablecloths and napkins.
Featuring a pattern from the region of  
Bukovyna, Ukraine.",Promin October 1969,31
3061,4,Exhibit of Dolls,Displayed in Montreal. On loan from the Ukrainian Museum of Canada Ontario branch.,Promin August-September 1966,31
3064,4,Embroidery Pattern,Hutsul pattern from Kosmach.,Promin October 1966,31
3070,4,"""Moppet"" ","Woodcut by J. Hnizdovsky
Article titled ""Hnizdovsky - An Appreciation"".",Promin April 1967,15
3077,4,Fashion Illustration  ,,Promin May 1968,31
3091,4,Embroidery Pattern,Pattern appears on the pocket of vest on block 3088 (Panel 10),Promin February 1964,31
3100,4,Katrya Hutsulyak  ,Modeling a Ladies' Suit with embroidered details.,Promin September-October 1964,31
3106,4,Embroidery Pattern,,Promin August 1963,21
3141,4,Cross-stitch Pattern for a Blouse,,Promin October 1977,32
3187,4,Embroidery Pattern,,Promin June 1968,25
3190,4,Embroidery Pattern,Star Cross-stitch motif,Promin April 1960,31
3193,4,Embroidery Pattern,Zarkarpatian Cross-stitch motifs,Promin June 1985,32
3257,4,Embroidery Pattern,Heart-shaped Motif,Promin,
3407,4,Embroidery Pattern,Bukovynian Motif,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
",21
3411,4,UWAC Museum Exhibit c. 1951,,Twenty Five Years of UWAC 1926-1951,77
3429,4,"""Жінка з снопом""
""Woman With a Sheaf of Wheat""  ",Woodcut by O. L. Kulchytsky,Promin October 1975,cover
3434,4,"""Alberta"" ",Identifier for pages with information from Alberta.,Twenty Five Years of UWAC 1926-1951,189
3437,4,Playing Trembitas,,Promin April 1962,cover
3440,4,Lesia Ukrainka ,Woodcut by S. Karaffi-Corbet,Promin February 1969,cover
3456,4,"""In Heaven, Easter Bells Ring""",Unknown Artist,Promin April 1985,cover
3460,4,Boy Talking to a Bird & Rabbit,Unknown Artist,Promin October 1972,23
3498,4,Handicraft Exhibit in Edmonton c.1944,"Edmonton, AB 
c.1944",Unknown Publication,
3573,4,Town Square in Ukraine,Unknown Artist,Unknown Publication,
3590,4,Jesus with young man,Unknown Artist,Unknown Publication,
3605,4,Icon of Mary,Unknown Artist,Unknown Publication,
3632,4,St. Nicholas Display,Unknown Artist,Promin January 1974,16
3634,4,Metropolitan Ilarion  ,Blessing of a Cross,Unknown Publication,
3642,4,Oxford College Dining Hall,,Unknown Publication,
3643,4,Iconostas,Unidentified Location,Unknown Publication,
3664,4,Church Service ,Unidentified Priest,Unknown Publication,
3686,4,CYMK Youth Group,Unidentified ,Unknown Publication,
3710,4,Group Photo,Unidentified ,Unknown Publication,
3716,4,Family Travelling with their Horse or Donkey,Unidentified ,Unknown Publication,
3730,4,Portrait of a Man,Unidentified ,Unknown Publication,
3733,4,Portrait of a Man,Unidentified ,Unknown Publication,
3735,4,Portrait of a Man,Unidentified ,Unknown Publication,
3804,4,J. K. Tkanik,,Unknown Publication,
3816,4,Portrait of a Young Man in Uniform,Unidentified ,Unknown Publication,
3823,4,Portrait of a Man,Unidentified ,Unknown Publication,
3885,4,Portrait of a Man,Unidentified ,Unknown Publication,
3914,4,Portrait of a Man,Unidentified ,Unknown Publication,
3929,4,Portrait of a Woman,Unidentified ,Unknown Publication,
3940,4,Portrait of a Woman,Unidentified ,Unknown Publication,
3985,4,Natalka Faryna,"Edmonton, AB",Unknown Publication,
4039,4,Portrait of a Female Graduate,Unidentified ,Unknown Publication,
4041,4,Portrait of a Female Graduate,Unidentified ,Unknown Publication,
4072,4,Portrait of a Woman,Unidentified ,Unknown Publication,
4082,4,Portrait of a Woman,Unidentified ,Unknown Publication,
4102,4,Portrait of a Woman,,Unknown Publication,
4110,4,Portrait of a Woman,,Unknown Publication,
4127,4,Portrait of a Woman,,Unknown Publication,
4136,4,Portrait of a Woman,,Unknown Publication,
4150,4,Portrait of a Woman,,Unknown Publication,
4153,4,Portrait of a Woman,,Unknown Publication,
4169,4,Portrait of a Woman,,Unknown Publication,
4195,4,Portrait of a Woman,,Unknown Publication,
4209,4,Portrait of a Woman,,Unknown Publication,
4235,4,Portrait of a Woman,,Unknown Publication,
4241,4,Portrait of a Woman,,Unknown Publication,
4296,4,Natalia & Slavko Babych,Wedding Photograph,Unknown Publication,
4378,4,"Травню Ласкавий
May is Kind",Ukrainian Folksong,Unknown Publication,
4533,4,Troiista Musyka,"Violin accompanied by a drum, tsymbaly, and sopilka",Unknown Publication,
4546,4,"Володимир Великий
Volodymyr the Great",Prince of Novgorod from 970 A.D. and Grand Prince of Kyiv from 978 until he died in 1015 A.D.,Unknown Publication,
4603,4,25th Anniversary of the Ukrainian National Federation (UNF),,Unknown Publication,
4649,4,Cursive Handwrititen Signatures,,Unknown Publication,
4659,4,Tall Ship,Artist Unknown,"«У СВІТІ ПРИГОД»
 ""The World of Adventure""",
4666,4,Iron Cross Flag,,Unknown Publication,
4704,4,Dancing Couple,Graphic Silhouette - Unknown Artist,Unknown Publication,
4720,4,Kozak Profile,Graphic Silhouette - Unknown Artist,Unknown Publication,
4724,4,Lesia Ukrainka ,Book Cover,"""Наші Визначиі Жінки""
 ""Our Outstanding Women""  ",
4745,4,Ukrainian Orthodox Church,"Unidentified Location
Unknown Artist",Unknown Publication,
4754,4,Signature of Reverend Hryhori Fil,,Unknown Publication,
4780,4,CYM Tryzub Logo,,Unknown Publication,
4781,4,UWAC Logo,Smolskyp 1994,Unknown Publication,
4790,4,Tryzub in a Maple Leaf,,Unknown Publication,
4793,4,Credit Union Logo,,Unknown Publication,
4838,4,Taras Shevchenko  ,Photograph,"Калиндар Українського голосу 
Ukrainian Voice Almanac 
1964",30
4839,4,Taras Shevchenko,"Taras Shevchenko's self-portrait was created in Orenburg, Russia, and mailed to Andrii Lyzohub on November 29th, 1849—Sepia on paper.","Калиндар Українського голосу 
Ukrainian Voice Almanac 
1961",79
4842,4,"""Мені однаково, чи буду...""
“If it does not touch me” ",Handwritten Poem by Taras Shevchenko,"Калиндар Українського голосу 
Ukrainian Voice Almanac 
1961",62
4852,4,Taras Shevchenko,"""1861-1961 Taras Shevchenko Ukraine's Champion of Liberty"" 
Self Portrait - 1841",Unknown Publication,
4945,4,Road to Alaska from the Yukon,,Unknown Publication,
4969,4,"""The Embrace""  ",Painting by V.S. Kravchenko,Unknown Publication,
4978,4,Ostriches,"Farm in Askaniya- Nova, Kherson Oblast, Ukraine ",Unknown Publication,
4982,4,Christopher Columbus,Painting - Unidentified Artist,Unknown Publication,
4996,4,Ten Pysanky on an Embroidered Cloth,Artist Unknown,Unknown Publication,
4997,4,Three Men Wearing Ribbons,Unidentified ,Unknown Publication,
5020,4,CYMK Princess,Unidentified ,Unknown Publication,
5022,4,Portrait of a Young Woman,Unidentified ,Unknown Publication,
5031,4,Two Young Women,Unidentified ,Unknown Publication,
5035,4,Portrait of a Man Wearing a Large Fur Coat,Unidentified ,Unknown Publication,
5060,4,People Look Over a Document,Unidentified ,Unknown Publication,
5069,4,"First, Second & Third Place Pysanka/Easter Eggs",,Unknown Publication,
5084,4,Folk Items Surrounding a Shotgun,Unknown Artist,Unknown Publication,
5090,4,Illustrated Winged Animals Battling or Framing a Flower,,Unknown Publication,
5108,4,"""LESYA UKRAINKA"" Book Cover",,"""LESYA UKRAINKA""",Cover
5140,4,Group Photo ,Unidentified,Unknown Publication,
5243,4,Commemorative Ribbon,60th anniversary and visitation at the Holy Ghost Ukrainian Cathedral Parish in Winnipeg.,Unknown Publication,
5267,4,House Plans,Hand-drawn Schematic Drawing for a Home,Unknown Publication,
5273,4,Branches & Plants Diagram,Unknown Artist,Unknown Publication,
5281,4,Blooming Flower,Unidentified,Unknown Publication,
5284,4,Monument to Ukrainian PIoneers,Unknown Artist,Unknown Publication,
5289,4,Map of Ukraine & Surrounding Countries ,Unknown Cartographer,Unknown Publication,
5294,4,Map of the Black Sea,Unknown Cartographer,Unknown Publication,
5385,4,Commemorative Ribbon,"70th anniversary and visitation for St. Mary the Protectress. 
820 Burrows Avenue, Winnipeg, MB", ,
5446,4,Group Photo,Unidentified,Unknown Publication,
5449,4,""" Захар Беркут""
""Zahar Berkut""","Scene from the Film 
1971",Unknown Publication,
5451,4,Group Photo,Unidentified,Unknown Publication,
5470,4,Group Photo of Men,Unidentified,Unknown Publication,
5527,4,Portrait of a Man,Unidentified,Unknown Publication,
5553,4,Turning of the First Sod,"Turning of the first sod for the new Holy Trinity Cathedral in Winnipeg, MB.
September 11, 1949",Unknown Publication,
5616,4,Construction Graphic,,Unknown Publication,
5646,4,"""The Strongest Man in the World""","Advertisement for the movie ""Strongest Man in the World"", produced and directed by Halya Kuchmij, released in 1980.",Unknown Publication,
5677,4,Christ Has Risen Easter Egg Print,,Unknown Publication,
5689,4,Woman With Two Geese,Illustration by Wadym Dobrolige ,"Traditional Ukrainian Cookery by Savella Stechishin
1957",144
5727,4,"The Original St. Andrews College Winnipeg, Manitoba","Winnipeg, Manitoba",Unknown Publication,
5741,4,Main Street in Panama City,,Unknown Publication,
5757,4,Type Service Ltd Advertisement,"61 GERTIE STREET
Winnipeg, MB ",Unknown Publication,
5774,4,Portrait of a Young Woman,Unidentified,Unknown Publication,
5775,4,Christmas Postage Seals ,Advertisement for Tuberculosis,Unknown Publication,
5781,4,Mykhailo Hrushevsky Institute ,"Ukrainian student residence
10564 98 St NW, Edmonton, AB 
1918-1949 ",Unknown Publication,
26,5,Embroidered Bed Spread,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",34
27,5,Embroidered Handbag,,Ukrainian Embroidery Designs and Stitches  (1957),97
34,5,Embroidered Chair-Back Covers,,Ukrainian Embroidery Designs and Stitches  (1957),91
65,5,Embroidered Linen Doily,,Ukrainian Embroidery Designs and Stitches  (1957),71
77,5,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),84
82,5,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),129
89,5,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),114
99,5,Birds & Flowers,"Place holder in empty space on a page. 
Illustrated by Wadym Dobrolige",Traditional Ukrainian Cookery by Savella Stechishin (1957),"45, 67, 162, 279, 317"
101,5,Flower & Corn Stalk,Unknown Artist,Traditional Ukrainian Cookery by Savella Stechishin (1957),255
125,5,"""Swan Lake""","Galina Ulanova, prima ballerina of ""Bolshoi Ballet SSSR"" dancing Odette in ""Swan Lake"".","Українська жінка в хореографії - Пастернакова, Марія.  
Ukrainian Woman in Choreography by Maria Pasternakova
1963",68
181,5,"Володимир Антонович
Volodymyr Antonovych","Ukrainian Historian
Illustrated by Myhailo Fartukh","Історія України для дітей (1966)
History of Ukraine for children of School Age ",187
194,5,"Борис Грінченко
Boris Hrinchenko",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",208
210,5,Ivan Franko ,Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",205
213,5,"о. Степан Качала
Reverend Stepan Kachala",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",200
226,5," ""Rus'ka Pravda"" Book & Tryzub/Trident",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",
246,5,"Новгородський князь Рюрик
Prince Rurik of Novgorod",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",14
271,5,Taras Bulba Cover,Novel by Nickolai Gogol. Reprint by Trident Press.,"Taras Bulba
1964",cover
287,5,Cover Graphics,Cover  (Plate 2),"Українська Церква
The Ukrainian Church
1986",cover
292,5,Odd Map,Unidentified,Unknown Publication,
303,5,Children Reading,"Graphic image space holder
Unknown Illustrator",Unknown Publication,
326,5,Bison,,Unknown Publication,
347,5,Men by a Campfire & Wagon,Illustration by Wadym Dobrolige,Traditional Ukrainian Cookery by Savella Stechishin (1957),42
358,5,Tractor Pulling a Swather,Unidentified,Unknown Publication,
394,5,Group of Devotees,Unidentified,Unknown Publication,
408,5,"Михайло Волковсьий
Michael Volkovsky",,Unknown Publication,
417,5,Portrait of a Man ,Unidentified,Unknown Publication,
419,5,"Олександер. П. Варавва-Воронін
Alexander Barabbas-Voronin",,Unknown Publication,
423,5,"Іван Небоженко
John Nebozhynko",,Unknown Publication,
429,5,"Пан і Пані Цисмиструк
Mr. & Mrs. Sysmystruk",,Unknown Publication,
492,5,"Іван Дасик
John Dasyk",,Unknown Publication,
497,5,"Марія Кучер-Цьок
Maria Kucher-Sok  ",,Unknown Publication,
499,5,"Г. Шерzyk
H. Shezyk",,Unknown Publication,
550,5,"Павло Кадучок
 Paul Kadiuk",,Unknown Publication,
600,5,Portrait of a Woman,Unidentified,Unknown Publication,
702,5,"Степан Мойсюк
Steven Moysiuk",,Unknown Publication,
703,5,Portrait of a Woman,Unidentified,Unknown Publication,
722,5,"Теодота і Іван Клим
Theodota & Ivan (John) Klym",,Unknown Publication,
725,5,Portrait of a Woman,Unidentified,Unknown Publication,
729,5,Portrait of a Woman,Unidentified,Promin,
763,5,Portrait of a Woman,Unidentified,Unknown Publication,
795,5,"Ємілян і Єлисовета Охітва
Emilian & Elizabeth Ochitwa",,Unknown Publication,
829,5,"Марія Гавриш
Mary Hawrysh",,Unknown Publication,
868,5,"Соня Зенчишин
Sonia Zenchyshyn",,Unknown Publication,
